13-12-2018 14:21:51:697 groupXX@127.0.1.1:35010 [INFO] : -- *** --> Server -- local node: [127.0.1.1,35010,groupXX@127.0.1.1:35010]
13-12-2018 14:21:52:080 groupXX@127.0.1.1:35010 [INFO] : -- *** --> Server -- participants: [groupXX@127.0.1.1:35000, groupXX@127.0.1.1:35001, groupXX@127.0.1.1:35002, groupXX@127.0.1.1:35003, groupXX@127.0.1.1:35004, groupXX@127.0.1.1:35005, groupXX@127.0.1.1:35006, groupXX@127.0.1.1:35007, groupXX@127.0.1.1:35008, groupXX@127.0.1.1:35009, groupXX@127.0.1.1:35010, groupXX@127.0.1.1:35011, groupXX@127.0.1.1:35012, groupXX@127.0.1.1:35013, groupXX@127.0.1.1:35014]
13-12-2018 14:21:52:308 groupXX@127.0.1.1:35010 [TRACE] : [TSAESessionOriginatorSide] [session: 1] TSAE session
13-12-2018 14:21:54:224 groupXX@127.0.1.1:35010 [INFO] : [groupXX@127.0.1.1:35010] ADD recipe: udrsvnyc
13-12-2018 14:21:54:226 groupXX@127.0.1.1:35010 [TRACE] : Inserting into Log the operation: AddOperation [recipe=[udrsvnyc, Content--udrsvnyc, groupXX], timestamp=groupXX@127.0.1.1:35010:   0]
13-12-2018 14:21:54:226 groupXX@127.0.1.1:35010 [TRACE] : Updating the TimestampVectorInserting with the timestamp: groupXX@127.0.1.1:35010:   0
13-12-2018 14:23:14:223 groupXX@127.0.1.1:35010 [INFO] : [groupXX@127.0.1.1:35010] ADD recipe: eyfaevkf
13-12-2018 14:23:14:224 groupXX@127.0.1.1:35010 [TRACE] : Inserting into Log the operation: AddOperation [recipe=[eyfaevkf, Content--eyfaevkf, groupXX], timestamp=groupXX@127.0.1.1:35010:   1]
13-12-2018 14:23:14:224 groupXX@127.0.1.1:35010 [TRACE] : Updating the TimestampVectorInserting with the timestamp: groupXX@127.0.1.1:35010:   1
13-12-2018 14:23:54:230 groupXX@127.0.1.1:35010 [INFO] : [groupXX@127.0.1.1:35010] ADD recipe: flvuffai
13-12-2018 14:23:54:230 groupXX@127.0.1.1:35010 [TRACE] : Inserting into Log the operation: AddOperation [recipe=[flvuffai, Content--flvuffai, groupXX], timestamp=groupXX@127.0.1.1:35010:   2]
13-12-2018 14:23:54:230 groupXX@127.0.1.1:35010 [TRACE] : Updating the TimestampVectorInserting with the timestamp: groupXX@127.0.1.1:35010:   2
13-12-2018 14:25:54:224 groupXX@127.0.1.1:35010 [INFO] : [groupXX@127.0.1.1:35010] ADD recipe: bpsbnngl
13-12-2018 14:25:54:224 groupXX@127.0.1.1:35010 [TRACE] : Inserting into Log the operation: AddOperation [recipe=[bpsbnngl, Content--bpsbnngl, groupXX], timestamp=groupXX@127.0.1.1:35010:   3]
13-12-2018 14:25:54:224 groupXX@127.0.1.1:35010 [TRACE] : Updating the TimestampVectorInserting with the timestamp: groupXX@127.0.1.1:35010:   3
13-12-2018 14:26:52:860 groupXX@127.0.1.1:35010 [INFO] : Server groupXX@127.0.1.1:35010 finishes Activity Simulation
13-12-2018 14:26:53:004 groupXX@127.0.1.1:35010 [DEBUG] : ##### [iteration: 1/36] sending partial result
13-12-2018 14:26:53:005 groupXX@127.0.1.1:35010 [TRACE] : {bpsbnngl=[bpsbnngl, Content--bpsbnngl, groupXX], eyfaevkf=[eyfaevkf, Content--eyfaevkf, groupXX], flvuffai=[flvuffai, Content--flvuffai, groupXX], udrsvnyc=[udrsvnyc, Content--udrsvnyc, groupXX]}
13-12-2018 14:26:53:005 groupXX@127.0.1.1:35010 [TRACE] : AddOperation [recipe=[udrsvnyc, Content--udrsvnyc, groupXX], timestamp=groupXX@127.0.1.1:35010:   0]
AddOperation [recipe=[eyfaevkf, Content--eyfaevkf, groupXX], timestamp=groupXX@127.0.1.1:35010:   1]
